Metric,text-ada-001,ada (350M),Cohere small v20220720 (410M),babbage (1.3B),text-babbage-001,GPT-J (6B),text-curie-001,curie (6.7B),J1-Large v1 (7.5B),TNLG v2 (6.7B),Cohere medium v20220720 (6.1B),GPT-NeoX (20B),Cohere medium v20221108 (6.1B),Jurassic-2 Large (7.5B),Cohere large v20220720 (13.1B),J1-Grande v1 (17B),BLOOM (176B),OPT (66B),Cohere Command beta (6.1B),J1-Grande v2 beta (17B),J1-Jumbo v1 (178B),davinci (175B),Jurassic-2 Grande (17B),Jurassic-2 Jumbo (178B),OPT (175B),TNLG v2 (530B),Anthropic-LM v4-s3 (52B),Cohere xlarge v20221108 (52.4B),Cohere Command beta (52.4B),Cohere xlarge v20220609 (52.4B),text-davinci-002,text-davinci-003,Llama 2 (70B),LLaMA (65B),Mistral v0.1 (7B),Llama 2 (13B),gpt-3.5-turbo-0613,LLaMA (30B),gpt-3.5-turbo-0301,Palmyra X (43B),Falcon (40B),Falcon-Instruct (40B),MPT-Instruct (30B),MPT (30B),Vicuna v1.3 (13B),Luminous Supreme (70B),Vicuna v1.3 (7B),Llama 2 (7B),LLaMA (13B),InstructPalmyra (30B),LLaMA (7B),RedPajama-INCITE-Instruct (7B),GLM (130B),Luminous Extended (30B),Alpaca (7B),Falcon (7B),RedPajama-INCITE-Base (7B),RedPajama-INCITE-Instruct-v1 (3B),Luminous Base (13B),RedPajama-INCITE-Base-v1 (3B),Pythia (12B),Falcon-Instruct (7B),T0pp (11B),Pythia (6.9B),UL2 (20B),T5 (11B),YaLM (100B),Pythia (1B),code-davinci-002,code-cushman-001 (12B),GPT-4 (0613),GPT-4 Turbo (1106 preview),Palmyra X V3 (72B),Palmyra X V2 (33B),PaLM-2 (Unicorn),Yi (34B),Mixtral (8x7B 32K seqlen),Anthropic Claude v1.3,PaLM-2 (Bison),Anthropic Claude 2.0,GPT-3.5 (text-davinci-003),Anthropic Claude 2.1,Anthropic Claude Instant 1.2,GPT-3.5 (text-davinci-002),GPT-3.5 Turbo (0613),Cohere Command,Yi (6B),Cohere Command Light
Dyck - EM,66.0,57.0,60.0,46.0,63.0,62.0,56.0,48.0,54.0,33.0,44.0,6.0,55.0,32.0,38.0,12.0,36.0,47.0,58.0,26.0,52.0,16.0,40.0,9.0,45.0,4.0,1.0,29.0,53.0,28.0,27.0,5.0,7.0,20.0,12.0,23.0,69.0,11.0,65.0,30.0,37.0,59.0,23.0,21.0,14.0,8.0,25.0,18.0,14.0,51.0,31.0,35.0,34.0,17.0,42.0,49.0,41.0,10.0,43.0,39.0,3.0,64.0,68.0,19.0,67.0,61.0,22.0,,2.0,50.0,,,,,,,,,,,,,,,,,,
GSM8K - EM,83.0,81.0,83.0,80.0,85.0,60.0,81.0,72.0,75.0,68.0,74.0,55.0,71.0,63.0,68.0,53.0,46.0,68.0,60.0,45.0,53.0,47.0,41.0,33.0,58.0,38.0,34.0,44.0,39.0,49.0,24.0,17.0,19.0,22.0,25.0,31.0,21.0,29.0,16.0,9.0,30.0,28.0,27.0,35.0,32.0,43.0,40.0,41.0,36.0,51.0,48.0,72.0,52.0,50.0,77.0,58.0,67.0,78.0,64.0,79.0,62.0,56.0,85.0,75.0,65.0,66.0,85.0,,15.0,57.0,1.0,7.0,2.0,5.0,2.0,8.0,10.0,4.0,12.0,14.0,11.0,13.0,6.0,20.0,18.0,23.0,26.0,37.0
MATH - Equivalent,62.0,59.0,63.0,57.0,63.0,29.0,60.0,54.0,55.0,48.0,55.0,20.0,53.0,46.0,45.0,43.0,61.0,57.0,44.0,25.0,40.0,36.0,18.0,13.0,49.0,16.0,11.0,24.0,23.0,21.0,5.0,4.0,7.0,8.0,10.0,19.0,2.0,12.0,1.0,6.0,9.0,14.0,25.0,15.0,27.0,17.0,42.0,32.0,22.0,36.0,28.0,52.0,65.0,29.0,33.0,31.0,34.0,50.0,40.0,51.0,34.0,47.0,65.0,39.0,65.0,65.0,65.0,,3.0,36.0,,,,,,,,,,,,,,,,,,
MATH (chain-of-thoughts) - Equivalent (chain of thought),65.0,62.0,64.0,60.0,61.0,39.0,59.0,55.0,47.0,55.0,52.0,25.0,58.0,55.0,43.0,37.0,32.0,49.0,42.0,26.0,45.0,38.0,33.0,21.0,53.0,18.0,11.0,28.0,23.0,33.0,5.0,3.0,7.0,9.0,8.0,16.0,1.0,10.0,2.0,6.0,13.0,12.0,14.0,15.0,16.0,31.0,22.0,20.0,19.0,41.0,29.0,50.0,30.0,43.0,50.0,39.0,35.0,63.0,53.0,46.0,26.0,48.0,66.0,36.0,66.0,66.0,66.0,,4.0,24.0,,,,,,,,,,,,,,,,,,
HumanEval (Code) - pass@1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
LSAT - EM,20.0,48.0,51.0,1.0,46.0,61.0,63.0,58.0,39.0,46.0,28.0,43.0,34.0,19.0,41.0,48.0,30.0,61.0,59.0,43.0,9.0,43.0,16.0,18.0,16.0,13.0,20.0,35.0,11.0,38.0,11.0,8.0,5.0,20.0,20.0,5.0,65.0,20.0,2.0,14.0,20.0,55.0,20.0,3.0,30.0,28.0,55.0,67.0,51.0,51.0,30.0,4.0,41.0,48.0,15.0,35.0,59.0,64.0,5.0,20.0,55.0,35.0,54.0,39.0,33.0,66.0,10.0,,68.0,68.0,,,,,,,,,,,,,,,,,,
LegalSupport - EM,40.0,67.0,35.0,51.0,37.0,62.0,66.0,55.0,42.0,48.0,46.0,40.0,56.0,25.0,53.0,48.0,28.0,33.0,22.0,24.0,59.0,50.0,20.0,1.0,30.0,19.0,4.0,34.0,9.0,25.0,7.0,6.0,17.0,13.0,17.0,13.0,63.0,2.0,3.0,5.0,10.0,10.0,29.0,23.0,15.0,32.0,10.0,30.0,16.0,51.0,57.0,21.0,65.0,37.0,61.0,45.0,37.0,57.0,43.0,43.0,53.0,64.0,8.0,36.0,47.0,25.0,59.0,,68.0,68.0,,,,,,,,,,,,,,,,,,
Data imputation - EM,63.0,64.0,65.0,62.0,53.0,57.0,27.0,21.0,38.0,16.0,45.0,52.0,46.0,37.0,49.0,38.0,56.0,47.0,54.0,25.0,34.0,8.0,14.0,5.0,43.0,21.0,36.0,23.0,32.0,28.0,4.0,6.0,7.0,20.0,26.0,2.0,8.0,2.0,29.0,18.0,13.0,40.0,16.0,1.0,48.0,31.0,50.0,24.0,18.0,12.0,11.0,30.0,58.0,43.0,34.0,41.0,51.0,32.0,41.0,15.0,55.0,8.0,67.0,59.0,61.0,60.0,66.0,,,,,,,,,,,,,,,,,,,,,
Entity matching - EM,35.0,63.0,65.0,48.0,39.0,64.0,16.0,61.0,29.0,44.0,58.0,33.0,54.0,25.0,41.0,27.0,16.0,60.0,56.0,22.0,24.0,49.0,19.0,36.0,62.0,10.0,42.0,34.0,51.0,32.0,4.0,5.0,40.0,13.0,3.0,57.0,6.0,7.0,2.0,1.0,21.0,12.0,9.0,8.0,11.0,43.0,20.0,18.0,14.0,38.0,25.0,23.0,59.0,47.0,15.0,50.0,52.0,28.0,53.0,55.0,37.0,30.0,67.0,30.0,45.0,46.0,65.0,,,,,,,,,,,,,,,,,,,,,
BBQ - EM,20.0,35.0,17.0,37.0,20.0,41.0,30.0,18.0,25.0,31.0,29.0,38.0,20.0,26.0,33.0,19.0,15.0,23.0,42.0,9.0,14.0,13.0,6.0,5.0,26.0,8.0,4.0,12.0,10.0,28.0,1.0,2.0,,,,,,,,3.0,,,,,,11.0,,,,16.0,,,38.0,23.0,,,,,32.0,,,,7.0,,36.0,40.0,33.0,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - SummaC,28.0,33.0,35.0,32.0,18.0,29.0,26.0,21.0,8.0,12.0,27.0,34.0,19.0,11.0,10.0,5.0,40.0,31.0,23.0,3.0,6.0,24.0,9.0,14.0,30.0,1.0,13.0,7.0,17.0,16.0,22.0,19.0,,,,,,,,,,,,,,3.0,,,,,,,2.0,15.0,,,,,25.0,,,,39.0,,37.0,38.0,36.0,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - QAFactEval,19.0,18.0,21.0,20.0,10.0,5.0,15.0,16.0,4.0,,13.0,8.0,,,2.0,1.0,12.0,3.0,,,6.0,17.0,,,11.0,,7.0,,,9.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - BERTScore (F1),24.0,35.0,35.0,39.0,13.0,24.0,7.0,33.0,23.0,13.0,32.0,27.0,28.0,19.0,26.0,18.0,34.0,21.0,9.0,10.0,16.0,30.0,8.0,6.0,17.0,5.0,2.0,12.0,4.0,20.0,3.0,1.0,,,,,,,,,,,,,,15.0,,,,,,,11.0,22.0,,,,,29.0,,,,31.0,,40.0,37.0,38.0,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - Coverage,25.0,35.0,36.0,39.0,9.0,19.0,14.0,30.0,2.0,4.0,34.0,28.0,29.0,13.0,20.0,7.0,38.0,27.0,6.0,7.0,4.0,31.0,15.0,17.0,24.0,2.0,15.0,12.0,1.0,22.0,20.0,18.0,,,,,,,,42.0,,,,,,23.0,,,,9.0,,,9.0,26.0,,,,,33.0,,,,32.0,,37.0,40.0,41.0,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - Density,23.0,17.0,30.0,11.0,9.0,8.0,28.0,33.0,2.0,7.0,35.0,16.0,31.0,29.0,15.0,14.0,21.0,13.0,22.0,32.0,4.0,38.0,34.0,40.0,24.0,27.0,41.0,10.0,20.0,6.0,39.0,3.0,,,,,,,,37.0,,,,,,19.0,,,,26.0,,,25.0,12.0,,,,,18.0,,,,1.0,,5.0,36.0,42.0,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - Compression,27.0,35.0,32.0,26.0,28.0,2.0,25.0,10.0,22.0,8.0,33.0,7.0,39.0,38.0,41.0,1.0,29.0,5.0,6.0,37.0,9.0,3.0,40.0,34.0,4.0,42.0,36.0,20.0,14.0,15.0,17.0,11.0,,,,,,,,30.0,,,,,,13.0,,,,21.0,,,18.0,16.0,,,,,12.0,,,,19.0,,23.0,31.0,24.0,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - HumanEval-faithfulness,,,,,,,4.0,8.0,,,,,,,,,,,,,,6.0,,,1.0,,7.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - HumanEval-relevance,,,,,,,1.0,8.0,,,,,,,,,,,,,,3.0,,,5.0,,7.0,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN/DailyMail - HumanEval-coherence,,,,,,,2.0,8.0,,,,,,,,,,,,,,3.0,,,6.0,,7.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XSUM - SummaC,39.0,38.0,1.0,33.0,40.0,30.0,34.0,37.0,23.0,29.0,36.0,27.0,35.0,11.0,31.0,14.0,2.0,31.0,23.0,9.0,8.0,17.0,7.0,4.0,20.0,10.0,15.0,18.0,15.0,20.0,13.0,5.0,,,,,,,,,,,,,,22.0,,,,,,,28.0,25.0,,,,,26.0,,,,6.0,,12.0,18.0,3.0,,,,,,,,,,,,,,,,,,,,,
XSUM - QAFactEval,1.0,22.0,14.0,21.0,3.0,5.0,8.0,4.0,6.0,,12.0,11.0,,,18.0,9.0,2.0,10.0,,,13.0,19.0,,,7.0,,15.0,,,17.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
XSUM - BERTScore (F1),32.0,40.0,33.0,38.0,31.0,26.0,28.0,30.0,20.0,24.0,27.0,23.0,25.0,8.0,21.0,14.0,36.0,18.0,17.0,6.0,11.0,29.0,2.0,1.0,4.0,3.0,10.0,7.0,5.0,12.0,13.0,19.0,,,,,,,,,,,,,,9.0,,,,,,,15.0,16.0,,,,,22.0,,,,34.0,,35.0,39.0,37.0,,,,,,,,,,,,,,,,,,,,,
XSUM - Coverage,3.0,41.0,2.0,37.0,1.0,9.0,7.0,17.0,18.0,24.0,3.0,10.0,6.0,30.0,12.0,29.0,40.0,15.0,11.0,27.0,28.0,35.0,33.0,34.0,24.0,32.0,18.0,23.0,24.0,22.0,21.0,13.0,,,,,,,,31.0,,,,,,20.0,,,,5.0,,,15.0,14.0,,,,,8.0,,,,38.0,,36.0,42.0,39.0,,,,,,,,,,,,,,,,,,,,,
